rehearsal_id,day,lineage,agent,rehearsal_seed_memory,rehearsal_theme,updated_plan,relationship_memory_touched,schedule_adjustment,private_workspace_sealed,public_trace,rehearsal_specificity
324,54,Rainline,Vonn,Vonn remembers avatar absence age 10 and prior rest before work.,rest before work,next wake: adjust weather bells work around rest before work.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.6732
325,55,Hearthline,Sova,Sova remembers avatar absence age 11 and prior route safety.,route safety,next wake: adjust hearth ceramics work around route safety.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.6486
326,55,Routeline,Keth,Keth remembers avatar absence age 11 and prior public token teaching.,public token teaching,next wake: adjust stone bridge joints work around public token teaching.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.6454
327,55,Marketline,Melo,Melo remembers avatar absence age 11 and prior weather bell caution.,weather bell caution,next wake: adjust measure weights work around weather bell caution.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.6398
328,55,Ledgerline,Nari,Nari remembers avatar absence age 11 and prior market fairness.,market fairness,next wake: adjust seed ledgers work around market fairness.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.6542
329,55,Orchardline,Ori,Ori remembers avatar absence age 11 and prior rest before work.,rest before work,next wake: adjust water terraces work around rest before work.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.639
330,55,Rainline,Vonn,Vonn remembers avatar absence age 11 and prior repair apology.,repair apology,next wake: adjust weather bells work around repair apology.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.6502
331,56,Hearthline,Sova,Sova remembers avatar absence age 12 and prior public token teaching.,public token teaching,next wake: adjust hearth ceramics work around public token teaching.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.6256
332,56,Routeline,Keth,Keth remembers avatar absence age 12 and prior weather bell caution.,weather bell caution,next wake: adjust stone bridge joints work around weather bell caution.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.6224
333,56,Marketline,Melo,Melo remembers avatar absence age 12 and prior market fairness.,market fairness,next wake: adjust measure weights work around market fairness.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.6168
334,56,Ledgerline,Nari,Nari remembers avatar absence age 12 and prior rest before work.,rest before work,next wake: adjust seed ledgers work around rest before work.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.6312
335,56,Orchardline,Ori,Ori remembers avatar absence age 12 and prior repair apology.,repair apology,next wake: adjust water terraces work around repair apology.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.616
336,56,Rainline,Vonn,Vonn remembers avatar absence age 12 and prior route safety.,route safety,next wake: adjust weather bells work around route safety.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.6272
