tick,day,resident,resource_name,resource_before,resource_after,item_name,item_before,item_after,widget_patch,visible_delta,localstorage_written
3076,171,Fay,charcoal,28,27,dry cloak,3,3,"{""after"": 27, ""before"": 28, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""charcoal""}",charcoal:-1; dry cloak:+0,True
3077,171,Milo,water,29,30,sealed jar,0,0,"{""after"": 30, ""before"": 29, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""water""}",water:+1; sealed jar:+0,True
3078,172,Sera,wood,31,32,patch kit,0,1,"{""after"": 32, ""before"": 31, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""wood""}",wood:+1; patch kit:+1,True
3079,172,Tovan,stone,9,8,dry cloak,2,2,"{""after"": 8, ""before"": 9, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""stone""}",stone:-1; dry cloak:+0,True
3080,172,Nia,copper,10,11,sealed jar,4,5,"{""after"": 11, ""before"": 10, ""item"": ""sealed jar"", ""itemAfter"": 5, ""resource"": ""copper""}",copper:+1; sealed jar:+1,True
3081,172,Ari,herb,11,10,patch kit,0,0,"{""after"": 10, ""before"": 11, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:-1; patch kit:+0,True
3082,172,Fay,charcoal,12,13,dry cloak,2,2,"{""after"": 13, ""before"": 12, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:+1; dry cloak:+0,True
3083,172,Milo,water,13,12,sealed jar,4,4,"{""after"": 12, ""before"": 13, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""water""}",water:-1; sealed jar:+0,True
3084,172,Sera,fiber,14,15,patch kit,1,0,"{""after"": 15, ""before"": 14, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""fiber""}",fiber:+1; patch kit:-1,True
3085,172,Tovan,wood,15,14,dry cloak,3,4,"{""after"": 14, ""before"": 15, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""wood""}",wood:-1; dry cloak:+1,True
3086,172,Nia,stone,16,17,sealed jar,0,0,"{""after"": 17, ""before"": 16, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""stone""}",stone:+1; sealed jar:+0,True
3087,172,Ari,copper,17,16,patch kit,1,2,"{""after"": 16, ""before"": 17, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:-1; patch kit:+1,True
3088,172,Fay,herb,18,19,dry cloak,3,3,"{""after"": 19, ""before"": 18, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""herb""}",herb:+1; dry cloak:+0,True
3089,172,Milo,charcoal,19,18,sealed jar,0,0,"{""after"": 18, ""before"": 19, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:-1; sealed jar:+0,True
3090,172,Sera,water,20,21,patch kit,2,1,"{""after"": 21, ""before"": 20, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""water""}",water:+1; patch kit:-1,True
3091,172,Tovan,fiber,21,20,dry cloak,4,4,"{""after"": 20, ""before"": 21, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:-1; dry cloak:+0,True
3092,172,Nia,wood,22,23,sealed jar,1,2,"{""after"": 23, ""before"": 22, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""wood""}",wood:+1; sealed jar:+1,True
3093,172,Ari,stone,23,22,patch kit,2,1,"{""after"": 22, ""before"": 23, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""stone""}",stone:-1; patch kit:-1,True
3094,172,Fay,copper,24,25,dry cloak,4,5,"{""after"": 25, ""before"": 24, ""item"": ""dry cloak"", ""itemAfter"": 5, ""resource"": ""copper""}",copper:+1; dry cloak:+1,True
3095,172,Milo,herb,25,24,sealed jar,1,1,"{""after"": 24, ""before"": 25, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""herb""}",herb:-1; sealed jar:+0,True
3096,173,Sera,water,27,26,patch kit,1,0,"{""after"": 26, ""before"": 27, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""water""}",water:-1; patch kit:-1,True
3097,173,Tovan,fiber,28,29,dry cloak,3,4,"{""after"": 29, ""before"": 28, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:+1; dry cloak:+1,True
3098,173,Nia,wood,29,28,sealed jar,0,0,"{""after"": 28, ""before"": 29, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""wood""}",wood:-1; sealed jar:+0,True
3099,173,Ari,stone,30,31,patch kit,1,2,"{""after"": 31, ""before"": 30, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""stone""}",stone:+1; patch kit:+1,True
3100,173,Fay,copper,31,30,dry cloak,3,3,"{""after"": 30, ""before"": 31, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""copper""}",copper:-1; dry cloak:+0,True
3101,173,Milo,herb,9,10,sealed jar,0,0,"{""after"": 10, ""before"": 9, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:+1; sealed jar:+0,True
3102,173,Sera,charcoal,10,9,patch kit,2,1,"{""after"": 9, ""before"": 10, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""charcoal""}",charcoal:-1; patch kit:-1,True
3103,173,Tovan,water,11,12,dry cloak,4,4,"{""after"": 12, ""before"": 11, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""water""}",water:+1; dry cloak:+0,True
3104,173,Nia,fiber,12,11,sealed jar,1,2,"{""after"": 11, ""before"": 12, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""fiber""}",fiber:-1; sealed jar:+1,True
3105,173,Ari,wood,13,14,patch kit,2,1,"{""after"": 14, ""before"": 13, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""wood""}",wood:+1; patch kit:-1,True
3106,173,Fay,stone,14,13,dry cloak,4,5,"{""after"": 13, ""before"": 14, ""item"": ""dry cloak"", ""itemAfter"": 5, ""resource"": ""stone""}",stone:-1; dry cloak:+1,True
3107,173,Milo,copper,15,16,sealed jar,1,1,"{""after"": 16, ""before"": 15, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""copper""}",copper:+1; sealed jar:+0,True
3108,173,Sera,herb,16,15,patch kit,3,2,"{""after"": 15, ""before"": 16, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:-1; patch kit:-1,True
3109,173,Tovan,charcoal,17,18,dry cloak,0,0,"{""after"": 18, ""before"": 17, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:+1; dry cloak:+0,True
3110,173,Nia,water,18,17,sealed jar,2,2,"{""after"": 17, ""before"": 18, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""water""}",water:-1; sealed jar:+0,True
3111,173,Ari,fiber,19,20,patch kit,3,4,"{""after"": 20, ""before"": 19, ""item"": ""patch kit"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:+1; patch kit:+1,True
3112,173,Fay,wood,20,19,dry cloak,0,0,"{""after"": 19, ""before"": 20, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""wood""}",wood:-1; dry cloak:+0,True
3113,173,Milo,stone,21,22,sealed jar,2,3,"{""after"": 22, ""before"": 21, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:+1; sealed jar:+1,True
3114,174,Sera,herb,23,24,patch kit,2,1,"{""after"": 24, ""before"": 23, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""herb""}",herb:+1; patch kit:-1,True
3115,174,Tovan,charcoal,24,23,dry cloak,4,4,"{""after"": 23, ""before"": 24, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""charcoal""}",charcoal:-1; dry cloak:+0,True
3116,174,Nia,water,25,26,sealed jar,1,2,"{""after"": 26, ""before"": 25, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""water""}",water:+1; sealed jar:+1,True
3117,174,Ari,fiber,26,25,patch kit,2,1,"{""after"": 25, ""before"": 26, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""fiber""}",fiber:-1; patch kit:-1,True
3118,174,Fay,wood,27,28,dry cloak,4,5,"{""after"": 28, ""before"": 27, ""item"": ""dry cloak"", ""itemAfter"": 5, ""resource"": ""wood""}",wood:+1; dry cloak:+1,True
3119,174,Milo,stone,28,27,sealed jar,1,1,"{""after"": 27, ""before"": 28, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""stone""}",stone:-1; sealed jar:+0,True
3120,174,Sera,copper,29,30,patch kit,3,2,"{""after"": 30, ""before"": 29, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:+1; patch kit:-1,True
3121,174,Tovan,herb,30,29,dry cloak,0,0,"{""after"": 29, ""before"": 30, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:-1; dry cloak:+0,True
3122,174,Nia,charcoal,31,32,sealed jar,2,2,"{""after"": 32, ""before"": 31, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:+1; sealed jar:+0,True
3123,174,Ari,water,9,8,patch kit,3,4,"{""after"": 8, ""before"": 9, ""item"": ""patch kit"", ""itemAfter"": 4, ""resource"": ""water""}",water:-1; patch kit:+1,True
3124,174,Fay,fiber,10,11,dry cloak,0,0,"{""after"": 11, ""before"": 10, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""fiber""}",fiber:+1; dry cloak:+0,True
3125,174,Milo,wood,11,10,sealed jar,2,3,"{""after"": 10, ""before"": 11, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""wood""}",wood:-1; sealed jar:+1,True
3126,174,Sera,stone,12,13,patch kit,4,3,"{""after"": 13, ""before"": 12, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:+1; patch kit:-1,True
3127,174,Tovan,copper,13,12,dry cloak,1,1,"{""after"": 12, ""before"": 13, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""copper""}",copper:-1; dry cloak:+0,True
3128,174,Nia,herb,14,15,sealed jar,3,3,"{""after"": 15, ""before"": 14, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""herb""}",herb:+1; sealed jar:+0,True
3129,174,Ari,charcoal,15,14,patch kit,4,3,"{""after"": 14, ""before"": 15, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""charcoal""}",charcoal:-1; patch kit:-1,True
3130,174,Fay,water,16,17,dry cloak,1,2,"{""after"": 17, ""before"": 16, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""water""}",water:+1; dry cloak:+1,True
3131,174,Milo,fiber,17,16,sealed jar,3,3,"{""after"": 16, ""before"": 17, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""fiber""}",fiber:-1; sealed jar:+0,True
3132,175,Sera,stone,19,18,patch kit,3,2,"{""after"": 18, ""before"": 19, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""stone""}",stone:-1; patch kit:-1,True
3133,175,Tovan,copper,20,21,dry cloak,0,0,"{""after"": 21, ""before"": 20, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""copper""}",copper:+1; dry cloak:+0,True
3134,175,Nia,herb,21,20,sealed jar,2,2,"{""after"": 20, ""before"": 21, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:-1; sealed jar:+0,True
3135,175,Ari,charcoal,22,23,patch kit,3,4,"{""after"": 23, ""before"": 22, ""item"": ""patch kit"", ""itemAfter"": 4, ""resource"": ""charcoal""}",charcoal:+1; patch kit:+1,True
3136,175,Fay,water,23,22,dry cloak,0,0,"{""after"": 22, ""before"": 23, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""water""}",water:-1; dry cloak:+0,True
3137,175,Milo,fiber,24,25,sealed jar,2,3,"{""after"": 25, ""before"": 24, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""fiber""}",fiber:+1; sealed jar:+1,True
3138,175,Sera,wood,25,24,patch kit,4,3,"{""after"": 24, ""before"": 25, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""wood""}",wood:-1; patch kit:-1,True
3139,175,Tovan,stone,26,27,dry cloak,1,1,"{""after"": 27, ""before"": 26, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""stone""}",stone:+1; dry cloak:+0,True
3140,175,Nia,copper,27,26,sealed jar,3,3,"{""after"": 26, ""before"": 27, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""copper""}",copper:-1; sealed jar:+0,True
3141,175,Ari,herb,28,29,patch kit,4,3,"{""after"": 29, ""before"": 28, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""herb""}",herb:+1; patch kit:-1,True
3142,175,Fay,charcoal,29,28,dry cloak,1,2,"{""after"": 28, ""before"": 29, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:-1; dry cloak:+1,True
3143,175,Milo,water,30,31,sealed jar,3,3,"{""after"": 31, ""before"": 30, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""water""}",water:+1; sealed jar:+0,True
3144,175,Sera,fiber,31,30,patch kit,0,1,"{""after"": 30, ""before"": 31, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""fiber""}",fiber:-1; patch kit:+1,True
3145,175,Tovan,wood,9,10,dry cloak,2,2,"{""after"": 10, ""before"": 9, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""wood""}",wood:+1; dry cloak:+0,True
3146,175,Nia,stone,10,9,sealed jar,4,4,"{""after"": 9, ""before"": 10, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""stone""}",stone:-1; sealed jar:+0,True
3147,175,Ari,copper,11,12,patch kit,0,0,"{""after"": 12, ""before"": 11, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""copper""}",copper:+1; patch kit:+0,True
3148,175,Fay,herb,12,11,dry cloak,2,2,"{""after"": 11, ""before"": 12, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:-1; dry cloak:+0,True
3149,175,Milo,charcoal,13,14,sealed jar,4,5,"{""after"": 14, ""before"": 13, ""item"": ""sealed jar"", ""itemAfter"": 5, ""resource"": ""charcoal""}",charcoal:+1; sealed jar:+1,True
3150,176,Sera,fiber,15,16,patch kit,4,3,"{""after"": 16, ""before"": 15, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""fiber""}",fiber:+1; patch kit:-1,True
3151,176,Tovan,wood,16,15,dry cloak,1,1,"{""after"": 15, ""before"": 16, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""wood""}",wood:-1; dry cloak:+0,True
3152,176,Nia,stone,17,18,sealed jar,3,3,"{""after"": 18, ""before"": 17, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:+1; sealed jar:+0,True
3153,176,Ari,copper,18,17,patch kit,4,3,"{""after"": 17, ""before"": 18, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""copper""}",copper:-1; patch kit:-1,True
3154,176,Fay,herb,19,20,dry cloak,1,2,"{""after"": 20, ""before"": 19, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:+1; dry cloak:+1,True
3155,176,Milo,charcoal,20,19,sealed jar,3,3,"{""after"": 19, ""before"": 20, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""charcoal""}",charcoal:-1; sealed jar:+0,True
3156,176,Sera,water,21,22,patch kit,0,1,"{""after"": 22, ""before"": 21, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""water""}",water:+1; patch kit:+1,True
3157,176,Tovan,fiber,22,21,dry cloak,2,2,"{""after"": 21, ""before"": 22, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""fiber""}",fiber:-1; dry cloak:+0,True
3158,176,Nia,wood,23,24,sealed jar,4,4,"{""after"": 24, ""before"": 23, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""wood""}",wood:+1; sealed jar:+0,True
3159,176,Ari,stone,24,23,patch kit,0,0,"{""after"": 23, ""before"": 24, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""stone""}",stone:-1; patch kit:+0,True
3160,176,Fay,copper,25,26,dry cloak,2,2,"{""after"": 26, ""before"": 25, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:+1; dry cloak:+0,True
3161,176,Milo,herb,26,25,sealed jar,4,5,"{""after"": 25, ""before"": 26, ""item"": ""sealed jar"", ""itemAfter"": 5, ""resource"": ""herb""}",herb:-1; sealed jar:+1,True
3162,176,Sera,charcoal,27,28,patch kit,1,0,"{""after"": 28, ""before"": 27, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:+1; patch kit:-1,True
3163,176,Tovan,water,28,27,dry cloak,3,4,"{""after"": 27, ""before"": 28, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""water""}",water:-1; dry cloak:+1,True
3164,176,Nia,fiber,29,30,sealed jar,0,0,"{""after"": 30, ""before"": 29, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""fiber""}",fiber:+1; sealed jar:+0,True
3165,176,Ari,wood,30,29,patch kit,1,0,"{""after"": 29, ""before"": 30, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""wood""}",wood:-1; patch kit:-1,True
3166,176,Fay,stone,31,32,dry cloak,3,3,"{""after"": 32, ""before"": 31, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:+1; dry cloak:+0,True
3167,176,Milo,copper,9,8,sealed jar,0,0,"{""after"": 8, ""before"": 9, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""copper""}",copper:-1; sealed jar:+0,True
3168,177,Sera,charcoal,11,10,patch kit,0,1,"{""after"": 10, ""before"": 11, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""charcoal""}",charcoal:-1; patch kit:+1,True
3169,177,Tovan,water,12,13,dry cloak,2,2,"{""after"": 13, ""before"": 12, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""water""}",water:+1; dry cloak:+0,True
3170,177,Nia,fiber,13,12,sealed jar,4,4,"{""after"": 12, ""before"": 13, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:-1; sealed jar:+0,True
3171,177,Ari,wood,14,15,patch kit,0,0,"{""after"": 15, ""before"": 14, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""wood""}",wood:+1; patch kit:+0,True
3172,177,Fay,stone,15,14,dry cloak,2,2,"{""after"": 14, ""before"": 15, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""stone""}",stone:-1; dry cloak:+0,True
3173,177,Milo,copper,16,17,sealed jar,4,5,"{""after"": 17, ""before"": 16, ""item"": ""sealed jar"", ""itemAfter"": 5, ""resource"": ""copper""}",copper:+1; sealed jar:+1,True
3174,177,Sera,herb,17,16,patch kit,1,0,"{""after"": 16, ""before"": 17, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:-1; patch kit:-1,True
3175,177,Tovan,charcoal,18,19,dry cloak,3,4,"{""after"": 19, ""before"": 18, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""charcoal""}",charcoal:+1; dry cloak:+1,True
3176,177,Nia,water,19,18,sealed jar,0,0,"{""after"": 18, ""before"": 19, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""water""}",water:-1; sealed jar:+0,True
3177,177,Ari,fiber,20,21,patch kit,1,0,"{""after"": 21, ""before"": 20, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""fiber""}",fiber:+1; patch kit:-1,True
3178,177,Fay,wood,21,20,dry cloak,3,3,"{""after"": 20, ""before"": 21, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""wood""}",wood:-1; dry cloak:+0,True
3179,177,Milo,stone,22,23,sealed jar,0,0,"{""after"": 23, ""before"": 22, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""stone""}",stone:+1; sealed jar:+0,True
3180,177,Sera,copper,23,22,patch kit,2,3,"{""after"": 22, ""before"": 23, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""copper""}",copper:-1; patch kit:+1,True
3181,177,Tovan,herb,24,25,dry cloak,4,4,"{""after"": 25, ""before"": 24, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""herb""}",herb:+1; dry cloak:+0,True
3182,177,Nia,charcoal,25,24,sealed jar,1,2,"{""after"": 24, ""before"": 25, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:-1; sealed jar:+1,True
3183,177,Ari,water,26,27,patch kit,2,1,"{""after"": 27, ""before"": 26, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""water""}",water:+1; patch kit:-1,True
3184,177,Fay,fiber,27,26,dry cloak,4,4,"{""after"": 26, ""before"": 27, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:-1; dry cloak:+0,True
3185,177,Milo,wood,28,29,sealed jar,1,1,"{""after"": 29, ""before"": 28, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""wood""}",wood:+1; sealed jar:+0,True
3186,178,Sera,copper,30,31,patch kit,1,0,"{""after"": 31, ""before"": 30, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""copper""}",copper:+1; patch kit:-1,True
3187,178,Tovan,herb,31,30,dry cloak,3,4,"{""after"": 30, ""before"": 31, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""herb""}",herb:-1; dry cloak:+1,True
3188,178,Nia,charcoal,9,10,sealed jar,0,0,"{""after"": 10, ""before"": 9, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:+1; sealed jar:+0,True
3189,178,Ari,water,10,9,patch kit,1,0,"{""after"": 9, ""before"": 10, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""water""}",water:-1; patch kit:-1,True
3190,178,Fay,fiber,11,12,dry cloak,3,3,"{""after"": 12, ""before"": 11, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""fiber""}",fiber:+1; dry cloak:+0,True
3191,178,Milo,wood,12,11,sealed jar,0,0,"{""after"": 11, ""before"": 12, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""wood""}",wood:-1; sealed jar:+0,True
3192,178,Sera,stone,13,14,patch kit,2,3,"{""after"": 14, ""before"": 13, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:+1; patch kit:+1,True
3193,178,Tovan,copper,14,13,dry cloak,4,4,"{""after"": 13, ""before"": 14, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""copper""}",copper:-1; dry cloak:+0,True
3194,178,Nia,herb,15,16,sealed jar,1,2,"{""after"": 16, ""before"": 15, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:+1; sealed jar:+1,True
3195,178,Ari,charcoal,16,15,patch kit,2,1,"{""after"": 15, ""before"": 16, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""charcoal""}",charcoal:-1; patch kit:-1,True
3196,178,Fay,water,17,18,dry cloak,4,4,"{""after"": 18, ""before"": 17, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""water""}",water:+1; dry cloak:+0,True
3197,178,Milo,fiber,18,17,sealed jar,1,1,"{""after"": 17, ""before"": 18, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""fiber""}",fiber:-1; sealed jar:+0,True
3198,178,Sera,wood,19,20,patch kit,3,2,"{""after"": 20, ""before"": 19, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""wood""}",wood:+1; patch kit:-1,True
3199,178,Tovan,stone,20,19,dry cloak,0,1,"{""after"": 19, ""before"": 20, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""stone""}",stone:-1; dry cloak:+1,True
3200,178,Nia,copper,21,22,sealed jar,2,2,"{""after"": 22, ""before"": 21, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:+1; sealed jar:+0,True
3201,178,Ari,herb,22,21,patch kit,3,4,"{""after"": 21, ""before"": 22, ""item"": ""patch kit"", ""itemAfter"": 4, ""resource"": ""herb""}",herb:-1; patch kit:+1,True
3202,178,Fay,charcoal,23,24,dry cloak,0,0,"{""after"": 24, ""before"": 23, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:+1; dry cloak:+0,True
3203,178,Milo,water,24,23,sealed jar,2,2,"{""after"": 23, ""before"": 24, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""water""}",water:-1; sealed jar:+0,True
3204,179,Sera,wood,26,25,patch kit,2,3,"{""after"": 25, ""before"": 26, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""wood""}",wood:-1; patch kit:+1,True
3205,179,Tovan,stone,27,28,dry cloak,4,4,"{""after"": 28, ""before"": 27, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""stone""}",stone:+1; dry cloak:+0,True
3206,179,Nia,copper,28,27,sealed jar,1,2,"{""after"": 27, ""before"": 28, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:-1; sealed jar:+1,True
3207,179,Ari,herb,29,30,patch kit,2,1,"{""after"": 30, ""before"": 29, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""herb""}",herb:+1; patch kit:-1,True
3208,179,Fay,charcoal,30,29,dry cloak,4,4,"{""after"": 29, ""before"": 30, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""charcoal""}",charcoal:-1; dry cloak:+0,True
3209,179,Milo,water,31,32,sealed jar,1,1,"{""after"": 32, ""before"": 31, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""water""}",water:+1; sealed jar:+0,True
3210,179,Sera,fiber,9,8,patch kit,3,2,"{""after"": 8, ""before"": 9, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""fiber""}",fiber:-1; patch kit:-1,True
3211,179,Tovan,wood,10,11,dry cloak,0,1,"{""after"": 11, ""before"": 10, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""wood""}",wood:+1; dry cloak:+1,True
3212,179,Nia,stone,11,10,sealed jar,2,2,"{""after"": 10, ""before"": 11, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""stone""}",stone:-1; sealed jar:+0,True
3213,179,Ari,copper,12,13,patch kit,3,4,"{""after"": 13, ""before"": 12, ""item"": ""patch kit"", ""itemAfter"": 4, ""resource"": ""copper""}",copper:+1; patch kit:+1,True
3214,179,Fay,herb,13,12,dry cloak,0,0,"{""after"": 12, ""before"": 13, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:-1; dry cloak:+0,True
3215,179,Milo,charcoal,14,15,sealed jar,2,2,"{""after"": 15, ""before"": 14, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:+1; sealed jar:+0,True
