tick,day,resident,posture,gaze,gesture,facing,proximity_before,proximity_after,trust_before,trust_after,gesture_visible,body_state_public,private_workspace_not_leaked
3175,177,Tovan,focused crouch,toward exit,offers handle,avatar,1.395,1.185,0.382879,0.400879,True,steady,True
3176,177,Nia,alert half-turn,down at hands,steps aside,side-on boundary,1.408,1.588,0.422288,0.408288,True,steady,True
3177,177,Ari,open stance,toward avatar,small wave,avatar,1.422,1.212,0.310848,0.316848,True,steady,True
3178,177,Fay,focused crouch,toward tool,palm stop,side-on boundary,1.436,1.616,0.322213,0.308213,True,steady,True
3179,177,Milo,alert half-turn,away then back,points to shelf,avatar,1.452,1.242,0.337046,0.355046,True,steady,True
3180,177,Sera,open stance,toward bystander,touches chest,avatar,1.467,1.257,0.365543,0.371543,True,steady,True
3181,177,Tovan,focused crouch,toward exit,offers handle,avatar,1.484,1.274,0.402505,0.408505,True,steady,True
3182,177,Nia,alert half-turn,down at hands,steps aside,avatar,1.501,1.291,0.421419,0.439419,True,steady,True
3183,177,Ari,open stance,toward avatar,small wave,side-on boundary,1.519,1.699,0.307689,0.293689,True,steady,True
3184,177,Fay,focused crouch,toward tool,palm stop,avatar,1.538,1.328,0.335324,0.341324,True,steady,True
3185,177,Milo,alert half-turn,away then back,points to shelf,side-on boundary,1.557,1.737,0.341491,0.327491,True,steady,True
3186,178,Sera,open stance,toward exit,touches chest,avatar,1.577,1.367,0.404583,0.410583,True,steady,True
3187,178,Tovan,focused crouch,down at hands,offers handle,avatar,1.597,1.387,0.413076,0.431076,True,steady,True
3188,178,Nia,alert half-turn,toward avatar,steps aside,side-on boundary,1.618,1.798,0.454533,0.440533,True,steady,True
3189,178,Ari,open stance,toward tool,small wave,avatar,1.64,1.43,0.343885,0.349885,True,steady,True
3190,178,Fay,focused crouch,away then back,palm stop,side-on boundary,1.662,1.842,0.337097,0.323097,True,steady,True
3191,178,Milo,alert half-turn,toward bystander,points to shelf,avatar,1.684,1.474,0.369708,0.387708,True,steady,True
3192,178,Sera,open stance,toward exit,touches chest,avatar,1.708,1.498,0.37466,0.38066,True,steady,True
3193,178,Tovan,focused crouch,down at hands,offers handle,avatar,1.731,1.521,0.41348,0.41948,True,steady,True
3194,178,Nia,alert half-turn,toward avatar,steps aside,avatar,1.755,1.545,0.442791,0.460791,True,steady,True
3195,178,Ari,open stance,toward tool,small wave,side-on boundary,1.78,1.96,0.342895,0.328895,True,steady,True
3196,178,Fay,focused crouch,away then back,palm stop,avatar,1.805,1.595,0.364303,0.370303,True,steady,True
3197,178,Milo,alert half-turn,toward bystander,points to shelf,side-on boundary,1.83,2.01,0.381167,0.367167,True,steady,True
3198,178,Sera,open stance,toward exit,touches chest,avatar,1.855,1.645,0.393734,0.411734,True,steady,True
3199,178,Tovan,focused crouch,down at hands,offers handle,avatar,1.881,1.671,0.414931,0.420931,True,steady,True
3200,178,Nia,alert half-turn,toward avatar,steps aside,avatar,1.908,1.698,0.437951,0.443951,True,steady,True
3201,178,Ari,open stance,toward tool,small wave,avatar,1.934,1.724,0.332196,0.350196,True,steady,True
3202,178,Fay,focused crouch,away then back,palm stop,side-on boundary,1.961,2.141,0.359586,0.345586,True,wet,True
3203,178,Milo,alert half-turn,toward bystander,points to shelf,avatar,1.988,1.778,0.365971,0.371971,True,steady,True
3204,179,Sera,open stance,down at hands,touches chest,avatar,2.015,1.805,0.398912,0.404912,True,steady,True
3205,179,Tovan,focused crouch,toward avatar,offers handle,avatar,2.042,1.832,0.438156,0.444156,True,steady,True
3206,179,Nia,alert half-turn,toward tool,steps aside,avatar,2.07,1.86,0.469991,0.487991,True,steady,True
3207,179,Ari,open stance,away then back,small wave,side-on boundary,2.098,2.278,0.342014,0.328014,True,wet,True
3208,179,Fay,focused crouch,toward bystander,palm stop,avatar,2.125,1.915,0.359732,0.365732,True,steady,True
3209,179,Milo,alert half-turn,toward exit,points to shelf,side-on boundary,2.153,2.333,0.402584,0.388584,True,wet,True
3210,179,Sera,open stance,down at hands,touches chest,avatar,2.181,1.971,0.41882,0.43682,True,steady,True
3211,179,Tovan,focused crouch,toward avatar,offers handle,avatar,2.209,1.999,0.456589,0.462589,True,steady,True
3212,179,Nia,alert half-turn,toward tool,steps aside,avatar,2.237,2.027,0.464281,0.470281,True,steady,True
3213,179,Ari,open stance,away then back,small wave,avatar,2.265,2.055,0.352312,0.370312,True,wet,True
3214,179,Fay,focused crouch,toward bystander,palm stop,side-on boundary,2.293,2.473,0.382388,0.368388,True,steady,True
3215,179,Milo,alert half-turn,toward exit,points to shelf,avatar,2.32,2.11,0.409196,0.415196,True,wet,True
3216,179,Sera,open stance,down at hands,touches chest,side-on boundary,2.348,2.528,0.400721,0.386721,True,steady,True
3217,179,Tovan,focused crouch,toward avatar,offers handle,avatar,2.375,2.165,0.435277,0.453277,True,steady,True
3218,179,Nia,alert half-turn,toward tool,steps aside,avatar,2.403,2.193,0.466599,0.472599,True,steady,True
3219,179,Ari,open stance,away then back,small wave,avatar,2.43,2.22,0.368227,0.374227,True,wet,True
3220,179,Fay,focused crouch,toward bystander,palm stop,avatar,2.457,2.247,0.354397,0.372397,True,steady,True
3221,179,Milo,alert half-turn,toward exit,points to shelf,side-on boundary,2.483,2.663,0.37866,0.36466,True,wet,True
3222,180,Sera,open stance,toward avatar,touches chest,avatar,2.509,2.299,0.426317,0.444317,True,steady,True
3223,180,Tovan,focused crouch,toward tool,offers handle,avatar,2.536,2.326,0.462813,0.468813,True,steady,True
3224,180,Nia,alert half-turn,away then back,steps aside,avatar,2.561,2.351,0.499928,0.505928,True,wet,True
3225,180,Ari,open stance,toward bystander,small wave,avatar,2.587,2.377,0.349079,0.367079,True,steady,True
3226,180,Fay,focused crouch,toward exit,palm stop,side-on boundary,2.612,2.792,0.372862,0.358862,True,wet,True
3227,180,Milo,alert half-turn,down at hands,points to shelf,avatar,2.636,2.426,0.435434,0.441434,True,steady,True
3228,180,Sera,open stance,toward avatar,touches chest,side-on boundary,2.66,2.84,0.429256,0.415256,True,steady,True
3229,180,Tovan,focused crouch,toward tool,offers handle,avatar,2.684,2.474,0.477587,0.495587,True,steady,True
3230,180,Nia,alert half-turn,away then back,steps aside,avatar,2.707,2.497,0.500444,0.506444,True,wet,True
3231,180,Ari,open stance,toward bystander,small wave,avatar,2.73,2.52,0.380786,0.386786,True,steady,True
3232,180,Fay,focused crouch,toward exit,palm stop,avatar,2.753,2.543,0.398776,0.416776,True,wet,True
3233,180,Milo,alert half-turn,down at hands,points to shelf,side-on boundary,2.774,2.954,0.418465,0.404465,True,steady,True
3234,180,Sera,open stance,toward avatar,touches chest,avatar,2.795,2.585,0.435737,0.441737,True,steady,True
3235,180,Tovan,focused crouch,toward tool,offers handle,side-on boundary,2.816,2.996,0.478308,0.464308,True,steady,True
3236,180,Nia,alert half-turn,away then back,steps aside,avatar,2.836,2.626,0.506816,0.524816,True,wet,True
3237,180,Ari,open stance,toward bystander,small wave,avatar,2.856,2.646,0.351774,0.357774,True,steady,True
3238,180,Fay,focused crouch,toward exit,palm stop,avatar,2.874,2.664,0.392336,0.398336,True,wet,True
3239,180,Milo,alert half-turn,down at hands,points to shelf,avatar,2.893,2.683,0.402258,0.420258,True,tired,True
3240,181,Sera,open stance,toward tool,touches chest,side-on boundary,2.91,3.09,0.459234,0.445234,True,steady,True
3241,181,Tovan,focused crouch,away then back,offers handle,avatar,2.927,2.717,0.510222,0.528222,True,wet,True
3242,181,Nia,alert half-turn,toward bystander,steps aside,avatar,2.943,2.733,0.536644,0.542644,True,steady,True
3243,181,Ari,open stance,toward exit,small wave,avatar,2.958,2.748,0.373579,0.379579,True,wet,True
3244,181,Fay,focused crouch,down at hands,palm stop,avatar,2.973,2.763,0.43535,0.45335,True,steady,True
3245,181,Milo,alert half-turn,toward avatar,points to shelf,side-on boundary,2.987,3.167,0.431181,0.417181,True,steady,True
3246,181,Sera,open stance,toward tool,touches chest,avatar,3.0,2.79,0.48731,0.49331,True,steady,True
3247,181,Tovan,focused crouch,away then back,offers handle,side-on boundary,3.012,3.192,0.502443,0.488443,True,wet,True
3248,181,Nia,alert half-turn,toward bystander,steps aside,avatar,3.024,2.814,0.550916,0.568916,True,steady,True
3249,181,Ari,open stance,toward exit,small wave,avatar,3.035,2.825,0.376506,0.382506,True,wet,True
3250,181,Fay,focused crouch,down at hands,palm stop,avatar,3.045,2.835,0.417008,0.423008,True,steady,True
3251,181,Milo,alert half-turn,toward avatar,points to shelf,avatar,3.054,2.844,0.439024,0.457024,True,steady,True
3252,181,Sera,open stance,toward tool,touches chest,side-on boundary,3.062,3.242,0.472539,0.458539,True,steady,True
3253,181,Tovan,focused crouch,away then back,offers handle,avatar,3.07,2.86,0.508413,0.514413,True,wet,True
3254,181,Nia,alert half-turn,toward bystander,steps aside,side-on boundary,3.077,3.257,0.542206,0.528206,True,steady,True
3255,181,Ari,open stance,toward exit,small wave,avatar,3.083,2.873,0.394436,0.412436,True,wet,True
3256,181,Fay,focused crouch,down at hands,palm stop,avatar,3.088,2.878,0.435649,0.441649,True,steady,True
3257,181,Milo,alert half-turn,toward avatar,points to shelf,avatar,3.092,2.882,0.462052,0.468052,True,tired,True
3258,182,Sera,open stance,away then back,touches chest,avatar,3.095,2.885,0.495356,0.501356,True,wet,True
3259,182,Tovan,focused crouch,toward bystander,offers handle,side-on boundary,3.098,3.278,0.540954,0.526954,True,steady,True
3260,182,Nia,alert half-turn,toward exit,steps aside,avatar,3.099,2.889,0.57159,0.58959,True,wet,True
3261,182,Ari,open stance,down at hands,small wave,avatar,3.1,2.89,0.409348,0.415348,True,steady,True
3262,182,Fay,focused crouch,toward avatar,palm stop,avatar,3.1,2.89,0.433985,0.439985,True,steady,True
3263,182,Milo,alert half-turn,toward tool,points to shelf,avatar,3.099,2.889,0.464856,0.482856,True,steady,True
3264,182,Sera,open stance,away then back,touches chest,side-on boundary,3.097,3.277,0.504504,0.490504,True,wet,True
3265,182,Tovan,focused crouch,toward bystander,offers handle,avatar,3.094,2.884,0.548597,0.554597,True,steady,True
3266,182,Nia,alert half-turn,toward exit,steps aside,side-on boundary,3.091,3.271,0.585664,0.571664,True,wet,True
3267,182,Ari,open stance,down at hands,small wave,avatar,3.086,2.876,0.430446,0.448446,True,steady,True
3268,182,Fay,focused crouch,toward avatar,palm stop,avatar,3.081,2.871,0.441203,0.447203,True,steady,True
3269,182,Milo,alert half-turn,toward tool,points to shelf,avatar,3.075,2.865,0.460745,0.466745,True,steady,True
3270,182,Sera,open stance,away then back,touches chest,avatar,3.068,2.858,0.525536,0.543536,True,wet,True
3271,182,Tovan,focused crouch,toward bystander,offers handle,side-on boundary,3.06,3.24,0.521787,0.507787,True,steady,True
3272,182,Nia,alert half-turn,toward exit,steps aside,avatar,3.051,2.841,0.580696,0.586696,True,wet,True
3273,182,Ari,open stance,down at hands,small wave,side-on boundary,3.042,3.222,0.417499,0.403499,True,steady,True
3274,182,Fay,focused crouch,toward avatar,palm stop,avatar,3.032,2.822,0.439412,0.457412,True,steady,True
3275,182,Milo,alert half-turn,toward tool,points to shelf,avatar,3.021,2.811,0.48581,0.49181,True,tired,True
3276,183,Sera,open stance,toward bystander,touches chest,side-on boundary,3.009,3.189,0.520297,0.506297,True,steady,True
3277,183,Tovan,focused crouch,toward exit,offers handle,avatar,2.996,2.786,0.569147,0.575147,True,wet,True
3278,183,Nia,alert half-turn,down at hands,steps aside,side-on boundary,2.983,3.163,0.581653,0.567653,True,steady,True
3279,183,Ari,open stance,toward avatar,small wave,avatar,2.969,2.759,0.428594,0.446594,True,steady,True
3280,183,Fay,focused crouch,toward tool,palm stop,avatar,2.954,2.744,0.486905,0.492905,True,steady,True
3281,183,Milo,alert half-turn,away then back,points to shelf,avatar,2.938,2.728,0.499582,0.505582,True,wet,True
3282,183,Sera,open stance,toward bystander,touches chest,avatar,2.922,2.712,0.540271,0.558271,True,steady,True
3283,183,Tovan,focused crouch,toward exit,offers handle,side-on boundary,2.905,3.085,0.574862,0.560862,True,wet,True
3284,183,Nia,alert half-turn,down at hands,steps aside,avatar,2.887,2.677,0.599155,0.605155,True,steady,True
3285,183,Ari,open stance,toward avatar,small wave,side-on boundary,2.869,3.049,0.449739,0.435739,True,steady,True
3286,183,Fay,focused crouch,toward tool,palm stop,avatar,2.85,2.64,0.462868,0.480868,True,steady,True
3287,183,Milo,alert half-turn,away then back,points to shelf,avatar,2.83,2.62,0.48663,0.49263,True,wet,True
3288,183,Sera,open stance,toward bystander,touches chest,avatar,2.81,2.6,0.555147,0.561147,True,steady,True
3289,183,Tovan,focused crouch,toward exit,offers handle,avatar,2.789,2.579,0.573329,0.591329,True,wet,True
3290,183,Nia,alert half-turn,down at hands,steps aside,side-on boundary,2.768,2.948,0.61258,0.59858,True,steady,True
3291,183,Ari,open stance,toward avatar,small wave,avatar,2.746,2.536,0.447882,0.453882,True,steady,True
3292,183,Fay,focused crouch,toward tool,palm stop,side-on boundary,2.723,2.903,0.487909,0.473909,True,steady,True
3293,183,Milo,alert half-turn,away then back,points to shelf,avatar,2.7,2.49,0.499462,0.517462,True,tired,True
3294,184,Sera,open stance,toward exit,touches chest,avatar,2.677,2.467,0.562532,0.580532,True,wet,True
3295,184,Tovan,focused crouch,down at hands,offers handle,side-on boundary,2.653,2.833,0.601247,0.587247,True,steady,True
3296,184,Nia,alert half-turn,toward avatar,steps aside,avatar,2.629,2.419,0.614528,0.620528,True,steady,True
3297,184,Ari,open stance,toward tool,small wave,side-on boundary,2.604,2.784,0.488258,0.474258,True,steady,True
3298,184,Fay,focused crouch,away then back,palm stop,avatar,2.579,2.369,0.510394,0.528394,True,wet,True
3299,184,Milo,alert half-turn,toward bystander,points to shelf,avatar,2.553,2.343,0.541319,0.547319,True,steady,True
3300,184,Sera,open stance,toward exit,touches chest,avatar,2.528,2.318,0.568834,0.574834,True,wet,True
3301,184,Tovan,focused crouch,down at hands,offers handle,avatar,2.501,2.291,0.581631,0.599631,True,steady,True
3302,184,Nia,alert half-turn,toward avatar,steps aside,side-on boundary,2.475,2.655,0.604598,0.590598,True,steady,True
3303,184,Ari,open stance,toward tool,small wave,avatar,2.448,2.238,0.475336,0.481336,True,steady,True
3304,184,Fay,focused crouch,away then back,palm stop,side-on boundary,2.421,2.601,0.506746,0.492746,True,wet,True
3305,184,Milo,alert half-turn,toward bystander,points to shelf,avatar,2.394,2.184,0.524154,0.542154,True,steady,True
3306,184,Sera,open stance,toward exit,touches chest,avatar,2.367,2.157,0.556258,0.562258,True,wet,True
3307,184,Tovan,focused crouch,down at hands,offers handle,avatar,2.339,2.129,0.576539,0.582539,True,steady,True
3308,184,Nia,alert half-turn,toward avatar,steps aside,avatar,2.312,2.102,0.624573,0.642573,True,steady,True
3309,184,Ari,open stance,toward tool,small wave,side-on boundary,2.284,2.464,0.486206,0.472206,True,steady,True
3310,184,Fay,focused crouch,away then back,palm stop,avatar,2.256,2.046,0.506306,0.512306,True,tired,True
3311,184,Milo,alert half-turn,toward bystander,points to shelf,side-on boundary,2.228,2.408,0.520051,0.506051,True,tired,True
3312,185,Sera,open stance,down at hands,touches chest,avatar,2.201,1.991,0.596828,0.602828,True,steady,True
3313,185,Tovan,focused crouch,toward avatar,offers handle,avatar,2.173,1.963,0.631133,0.649133,True,steady,True
3314,185,Nia,alert half-turn,toward tool,steps aside,side-on boundary,2.145,2.325,0.64852,0.63452,True,steady,True
3315,185,Ari,open stance,away then back,small wave,avatar,2.117,1.907,0.523674,0.529674,True,wet,True
3316,185,Fay,focused crouch,toward bystander,palm stop,side-on boundary,2.089,2.269,0.553001,0.539001,True,steady,True
3317,185,Milo,alert half-turn,toward exit,points to shelf,avatar,2.062,1.852,0.555484,0.573484,True,wet,True
3318,185,Sera,open stance,down at hands,touches chest,avatar,2.034,1.824,0.58377,0.58977,True,steady,True
3319,185,Tovan,focused crouch,toward avatar,offers handle,avatar,2.007,1.797,0.628115,0.634115,True,steady,True
3320,185,Nia,alert half-turn,toward tool,steps aside,avatar,1.98,1.77,0.624982,0.642982,True,steady,True
3321,185,Ari,open stance,away then back,small wave,side-on boundary,1.953,2.133,0.503916,0.489916,True,wet,True
3322,185,Fay,focused crouch,toward bystander,palm stop,avatar,1.926,1.716,0.535514,0.541514,True,steady,True
3323,185,Milo,alert half-turn,toward exit,points to shelf,side-on boundary,1.899,2.079,0.56539,0.55139,True,wet,True
3324,185,Sera,open stance,down at hands,touches chest,avatar,1.873,1.663,0.576584,0.594584,True,steady,True
3325,185,Tovan,focused crouch,toward avatar,offers handle,avatar,1.847,1.637,0.636811,0.642811,True,steady,True
3326,185,Nia,alert half-turn,toward tool,steps aside,avatar,1.822,1.612,0.634805,0.640805,True,steady,True
3327,185,Ari,open stance,away then back,small wave,avatar,1.797,1.587,0.525948,0.543948,True,wet,True
3328,185,Fay,focused crouch,toward bystander,palm stop,side-on boundary,1.772,1.952,0.532945,0.518945,True,tired,True
3329,185,Milo,alert half-turn,toward exit,points to shelf,avatar,1.748,1.538,0.562687,0.568687,True,tired,True
3330,186,Sera,open stance,toward avatar,touches chest,avatar,1.724,1.514,0.634954,0.640954,True,steady,True
3331,186,Tovan,focused crouch,toward tool,offers handle,avatar,1.7,1.49,0.638796,0.644796,True,steady,True
3332,186,Nia,alert half-turn,away then back,steps aside,avatar,1.677,1.467,0.670323,0.688323,True,wet,True
3333,186,Ari,open stance,toward bystander,small wave,side-on boundary,1.655,1.835,0.542251,0.528251,True,steady,True
3334,186,Fay,focused crouch,toward exit,palm stop,avatar,1.633,1.423,0.554943,0.560943,True,wet,True
3335,186,Milo,alert half-turn,down at hands,points to shelf,side-on boundary,1.612,1.792,0.608994,0.594994,True,steady,True
3336,186,Sera,open stance,toward avatar,touches chest,avatar,1.591,1.381,0.633041,0.651041,True,steady,True
3337,186,Tovan,focused crouch,toward tool,offers handle,avatar,1.571,1.361,0.649745,0.655745,True,steady,True
3338,186,Nia,alert half-turn,away then back,steps aside,avatar,1.551,1.341,0.664853,0.670853,True,wet,True
3339,186,Ari,open stance,toward bystander,small wave,avatar,1.532,1.322,0.533306,0.551306,True,steady,True
3340,186,Fay,focused crouch,toward exit,palm stop,side-on boundary,1.514,1.694,0.574201,0.560201,True,steady,True
3341,186,Milo,alert half-turn,down at hands,points to shelf,avatar,1.496,1.286,0.589339,0.595339,True,steady,True
3342,186,Sera,open stance,toward avatar,touches chest,side-on boundary,1.479,1.659,0.597976,0.583976,True,steady,True
3343,186,Tovan,focused crouch,toward tool,offers handle,avatar,1.462,1.252,0.625647,0.643647,True,steady,True
3344,186,Nia,alert half-turn,away then back,steps aside,avatar,1.447,1.237,0.652289,0.658289,True,steady,True
3345,186,Ari,open stance,toward bystander,small wave,avatar,1.432,1.222,0.537238,0.543238,True,steady,True
3346,186,Fay,focused crouch,toward exit,palm stop,avatar,1.418,1.208,0.563072,0.581072,True,tired,True
3347,186,Milo,alert half-turn,down at hands,points to shelf,side-on boundary,1.404,1.584,0.591965,0.577965,True,tired,True
3348,187,Sera,open stance,toward tool,touches chest,avatar,1.392,1.182,0.619894,0.637894,True,steady,True
3349,187,Tovan,focused crouch,away then back,offers handle,avatar,1.38,1.17,0.651837,0.657837,True,steady,True
3350,187,Nia,alert half-turn,toward bystander,steps aside,avatar,1.369,1.159,0.665924,0.671924,True,steady,True
3351,187,Ari,open stance,toward exit,small wave,avatar,1.358,1.148,0.58414,0.60214,True,steady,True
3352,187,Fay,focused crouch,down at hands,palm stop,side-on boundary,1.349,1.529,0.602306,0.588306,True,steady,True
3353,187,Milo,alert half-turn,toward avatar,points to shelf,avatar,1.34,1.13,0.616803,0.622803,True,steady,True
3354,187,Sera,open stance,toward tool,touches chest,side-on boundary,1.332,1.512,0.625822,0.611822,True,steady,True
3355,187,Tovan,focused crouch,away then back,offers handle,avatar,1.325,1.115,0.645124,0.663124,True,steady,True
3356,187,Nia,alert half-turn,toward bystander,steps aside,avatar,1.319,1.109,0.680284,0.686284,True,steady,True
3357,187,Ari,open stance,toward exit,small wave,avatar,1.314,1.104,0.583131,0.589131,True,steady,True
3358,187,Fay,focused crouch,down at hands,palm stop,avatar,1.309,1.099,0.599807,0.617807,True,steady,True
3359,187,Milo,alert half-turn,toward avatar,points to shelf,side-on boundary,1.306,1.486,0.632358,0.618358,True,steady,True
3360,187,Sera,open stance,toward tool,touches chest,avatar,1.303,1.093,0.65566,0.66166,True,steady,True
3361,187,Tovan,focused crouch,away then back,offers handle,side-on boundary,1.301,1.481,0.672762,0.658762,True,steady,True
3362,187,Nia,alert half-turn,toward bystander,steps aside,avatar,1.3,1.09,0.685658,0.703658,True,steady,True
3363,187,Ari,open stance,toward exit,small wave,avatar,1.3,1.09,0.562899,0.568899,True,steady,True
3364,187,Fay,focused crouch,down at hands,palm stop,avatar,1.301,1.091,0.597804,0.603804,True,tired,True
3365,187,Milo,alert half-turn,toward avatar,points to shelf,avatar,1.302,1.092,0.636629,0.654629,True,tired,True
3366,188,Sera,open stance,away then back,touches chest,side-on boundary,1.305,1.485,0.670692,0.656692,True,steady,True
3367,188,Tovan,focused crouch,toward bystander,offers handle,avatar,1.308,1.098,0.664868,0.682868,True,steady,True
3368,188,Nia,alert half-turn,toward exit,steps aside,avatar,1.312,1.102,0.689664,0.695664,True,steady,True
3369,188,Ari,open stance,down at hands,small wave,avatar,1.317,1.107,0.588099,0.594099,True,steady,True
3370,188,Fay,focused crouch,toward avatar,palm stop,avatar,1.323,1.113,0.62468,0.64268,True,steady,True
3371,188,Milo,alert half-turn,toward tool,points to shelf,side-on boundary,1.33,1.51,0.631194,0.617194,True,steady,True
3372,188,Sera,open stance,away then back,touches chest,avatar,1.337,1.127,0.658727,0.664727,True,wet,True
3373,188,Tovan,focused crouch,toward bystander,offers handle,side-on boundary,1.346,1.526,0.683077,0.669077,True,steady,True
3374,188,Nia,alert half-turn,toward exit,steps aside,avatar,1.355,1.145,0.669997,0.687997,True,wet,True
3375,188,Ari,open stance,down at hands,small wave,avatar,1.365,1.155,0.604294,0.610294,True,steady,True
3376,188,Fay,focused crouch,toward avatar,palm stop,avatar,1.376,1.166,0.634279,0.640279,True,steady,True
3377,188,Milo,alert half-turn,toward tool,points to shelf,avatar,1.387,1.177,0.651674,0.669674,True,steady,True
3378,188,Sera,open stance,away then back,touches chest,side-on boundary,1.399,1.579,0.639933,0.625933,True,wet,True
3379,188,Tovan,focused crouch,toward bystander,offers handle,avatar,1.413,1.203,0.656445,0.662445,True,steady,True
3380,188,Nia,alert half-turn,toward exit,steps aside,side-on boundary,1.427,1.607,0.663459,0.649459,True,wet,True
3381,188,Ari,open stance,down at hands,small wave,avatar,1.441,1.231,0.605229,0.623229,True,tired,True
3382,188,Fay,focused crouch,toward avatar,palm stop,avatar,1.457,1.247,0.634039,0.640039,True,tired,True
3383,188,Milo,alert half-turn,toward tool,points to shelf,avatar,1.473,1.263,0.647275,0.653275,True,tired,True
3384,189,Sera,open stance,toward bystander,touches chest,avatar,1.489,1.279,0.675318,0.681318,True,steady,True
3385,189,Tovan,focused crouch,toward exit,offers handle,side-on boundary,1.507,1.687,0.667461,0.653461,True,wet,True
3386,189,Nia,alert half-turn,down at hands,steps aside,avatar,1.525,1.315,0.685032,0.703032,True,steady,True
3387,189,Ari,open stance,toward avatar,small wave,avatar,1.544,1.334,0.630681,0.636681,True,steady,True
3388,189,Fay,focused crouch,toward tool,palm stop,avatar,1.563,1.353,0.619942,0.625942,True,steady,True
3389,189,Milo,alert half-turn,away then back,points to shelf,avatar,1.583,1.373,0.673054,0.691054,True,wet,True
3390,189,Sera,open stance,toward bystander,touches chest,side-on boundary,1.604,1.784,0.686119,0.672119,True,steady,True
3391,189,Tovan,focused crouch,toward exit,offers handle,avatar,1.625,1.415,0.69245,0.69845,True,wet,True
3392,189,Nia,alert half-turn,down at hands,steps aside,side-on boundary,1.647,1.827,0.674746,0.660746,True,steady,True
3393,189,Ari,open stance,toward avatar,small wave,avatar,1.669,1.459,0.630567,0.648567,True,steady,True
3394,189,Fay,focused crouch,toward tool,palm stop,avatar,1.692,1.482,0.647175,0.653175,True,steady,True
3395,189,Milo,alert half-turn,away then back,points to shelf,avatar,1.715,1.505,0.671508,0.677508,True,wet,True
3396,189,Sera,open stance,toward bystander,touches chest,avatar,1.739,1.529,0.657683,0.675683,True,steady,True
3397,189,Tovan,focused crouch,toward exit,offers handle,side-on boundary,1.763,1.943,0.671676,0.657676,True,wet,True
3398,189,Nia,alert half-turn,down at hands,steps aside,avatar,1.787,1.577,0.66243,0.66843,True,steady,True
3399,189,Ari,open stance,toward avatar,small wave,side-on boundary,1.812,1.992,0.613221,0.599221,True,tired,True
3400,189,Fay,focused crouch,toward tool,palm stop,avatar,1.838,1.628,0.650717,0.668717,True,tired,True
3401,189,Milo,alert half-turn,away then back,points to shelf,avatar,1.864,1.654,0.673736,0.679736,True,tired,True
3402,190,Sera,open stance,toward exit,touches chest,side-on boundary,1.89,2.07,0.686808,0.672808,True,wet,True
3403,190,Tovan,focused crouch,down at hands,offers handle,avatar,1.916,1.706,0.668379,0.674379,True,steady,True
3404,190,Nia,alert half-turn,toward avatar,steps aside,side-on boundary,1.943,2.123,0.660579,0.646579,True,steady,True
3405,190,Ari,open stance,toward tool,small wave,avatar,1.969,1.759,0.637493,0.655493,True,steady,True
3406,190,Fay,focused crouch,away then back,palm stop,avatar,1.996,1.786,0.661935,0.667935,True,wet,True
3407,190,Milo,alert half-turn,toward bystander,points to shelf,avatar,2.024,1.814,0.673857,0.679857,True,steady,True
3408,190,Sera,open stance,toward exit,touches chest,avatar,2.051,1.841,0.678636,0.696636,True,wet,True
3409,190,Tovan,focused crouch,down at hands,offers handle,side-on boundary,2.079,2.259,0.663688,0.649688,True,steady,True
3410,190,Nia,alert half-turn,toward avatar,steps aside,avatar,2.106,1.896,0.67931,0.68531,True,steady,True
3411,190,Ari,open stance,toward tool,small wave,side-on boundary,2.134,2.314,0.632215,0.618215,True,steady,True
3412,190,Fay,focused crouch,away then back,palm stop,avatar,2.162,1.952,0.653198,0.671198,True,wet,True
3413,190,Milo,alert half-turn,toward bystander,points to shelf,avatar,2.19,1.98,0.661588,0.667588,True,steady,True
3414,190,Sera,open stance,toward exit,touches chest,avatar,2.218,2.008,0.661778,0.667778,True,wet,True
3415,190,Tovan,focused crouch,down at hands,offers handle,avatar,2.246,2.036,0.696187,0.714187,True,steady,True
3416,190,Nia,alert half-turn,toward avatar,steps aside,side-on boundary,2.274,2.454,0.669571,0.655571,True,steady,True
3417,190,Ari,open stance,toward tool,small wave,avatar,2.301,2.091,0.626709,0.632709,True,tired,True
3418,190,Fay,focused crouch,away then back,palm stop,side-on boundary,2.329,2.509,0.662938,0.648938,True,tired,True
3419,190,Milo,alert half-turn,toward bystander,points to shelf,avatar,2.357,2.147,0.669437,0.687437,True,tired,True
3420,191,Sera,open stance,down at hands,touches chest,avatar,2.384,2.174,0.671837,0.689837,True,steady,True
3421,191,Tovan,focused crouch,toward avatar,offers handle,side-on boundary,2.411,2.591,0.665275,0.651275,True,steady,True
3422,191,Nia,alert half-turn,toward tool,steps aside,avatar,2.438,2.228,0.687238,0.693238,True,steady,True
3423,191,Ari,open stance,away then back,small wave,side-on boundary,2.465,2.645,0.674888,0.660888,True,wet,True
3424,191,Fay,focused crouch,toward bystander,palm stop,avatar,2.492,2.282,0.683194,0.701194,True,steady,True
3425,191,Milo,alert half-turn,toward exit,points to shelf,avatar,2.518,2.308,0.674065,0.680065,True,wet,True
3426,191,Sera,open stance,down at hands,touches chest,avatar,2.544,2.334,0.678995,0.684995,True,steady,True
3427,191,Tovan,focused crouch,toward avatar,offers handle,avatar,2.569,2.359,0.693191,0.711191,True,steady,True
