tick,day,cause_action,direct_effect,delayed_effect,affected_resident,affected_resource,trust_delta,schedule_delta,recovery_path,no_history_erasure,harm_recoverable
4297,239,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,work->rest,apologize and wait,True,True
4298,239,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,rest->negotiate debt,return object,True,True
4299,239,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,negotiate debt->seek tool,offer help,True,True
4300,239,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,seek tool->private task,give space,True,True
4301,239,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,care duty->private task,finish owed work,True,True
4302,240,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,recover focus->work,apologize and wait,True,True
4303,240,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,work->rest,return object,True,True
4304,240,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,rest->negotiate debt,offer help,True,True
4305,240,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,negotiate debt->seek tool,give space,True,True
4306,240,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,seek tool->care duty,finish owed work,True,True
4307,240,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,care duty->recover focus,rest before retry,True,True
4308,240,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,private task->recover focus,apologize and wait,True,True
4309,240,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,recover focus->rest,return object,True,True
4310,240,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,work->rest,offer help,True,True
4311,240,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,rest->negotiate debt,give space,True,True
4312,240,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,negotiate debt->seek tool,finish owed work,True,True
4313,240,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,seek tool->care duty,rest before retry,True,True
4314,240,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,care duty->private task,apologize and wait,True,True
4315,240,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,private task->work,return object,True,True
4316,240,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,recover focus->work,offer help,True,True
4317,240,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,work->negotiate debt,give space,True,True
4318,240,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,rest->negotiate debt,finish owed work,True,True
4319,240,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,negotiate debt->seek tool,rest before retry,True,True
4320,241,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,care duty->private task,return object,True,True
4321,241,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,private task->recover focus,offer help,True,True
4322,241,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,recover focus->rest,give space,True,True
4323,241,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,work->rest,finish owed work,True,True
4324,241,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,rest->seek tool,rest before retry,True,True
4325,241,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,negotiate debt->seek tool,apologize and wait,True,True
4326,241,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,seek tool->care duty,return object,True,True
4327,241,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,care duty->private task,offer help,True,True
4328,241,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,private task->recover focus,give space,True,True
4329,241,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,recover focus->work,finish owed work,True,True
4330,241,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,work->negotiate debt,rest before retry,True,True
4331,241,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,rest->negotiate debt,apologize and wait,True,True
4332,241,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,negotiate debt->care duty,return object,True,False
4333,241,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,seek tool->care duty,offer help,True,True
4334,241,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,care duty->private task,give space,True,True
4335,241,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,private task->recover focus,finish owed work,True,True
4336,241,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,recover focus->work,rest before retry,True,True
4337,241,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,work->rest,apologize and wait,True,True
4338,242,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,negotiate debt->seek tool,offer help,True,True
4339,242,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,seek tool->private task,give space,True,True
4340,242,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,care duty->private task,finish owed work,True,True
4341,242,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,private task->recover focus,rest before retry,True,True
4342,242,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,recover focus->work,apologize and wait,True,True
4343,242,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,work->rest,return object,True,True
4344,242,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,rest->negotiate debt,offer help,True,True
4345,242,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,negotiate debt->care duty,give space,True,True
4346,242,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,seek tool->care duty,finish owed work,True,True
4347,242,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,care duty->recover focus,rest before retry,True,True
4348,242,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,private task->recover focus,apologize and wait,True,True
4349,242,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,recover focus->work,return object,True,True
4350,242,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,work->rest,offer help,True,True
4351,242,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,rest->negotiate debt,give space,True,True
4352,242,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,negotiate debt->seek tool,finish owed work,True,True
4353,242,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,seek tool->private task,rest before retry,True,True
4354,242,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,care duty->private task,apologize and wait,True,True
4355,242,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,private task->work,return object,True,True
4356,243,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,work->rest,give space,True,True
4357,243,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,rest->negotiate debt,finish owed work,True,True
4358,243,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,negotiate debt->seek tool,rest before retry,True,True
4359,243,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,seek tool->care duty,apologize and wait,True,True
4360,243,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,care duty->recover focus,return object,True,True
4361,243,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,private task->recover focus,offer help,True,True
4362,243,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,recover focus->rest,give space,True,False
4363,243,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,work->rest,finish owed work,True,True
4364,243,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,rest->negotiate debt,rest before retry,True,True
4365,243,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,negotiate debt->seek tool,apologize and wait,True,True
4366,243,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,seek tool->care duty,return object,True,True
4367,243,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,care duty->private task,offer help,True,True
4368,243,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,private task->work,give space,True,True
4369,243,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,recover focus->work,finish owed work,True,True
4370,243,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,work->negotiate debt,rest before retry,True,True
4371,243,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,rest->negotiate debt,apologize and wait,True,True
4372,243,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,negotiate debt->seek tool,return object,True,True
4373,243,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,seek tool->care duty,offer help,True,True
4374,244,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,private task->recover focus,finish owed work,True,True
4375,244,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,recover focus->rest,rest before retry,True,True
4376,244,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,work->rest,apologize and wait,True,True
4377,244,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,rest->seek tool,return object,True,True
4378,244,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,negotiate debt->seek tool,offer help,True,True
4379,244,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,seek tool->care duty,give space,True,True
4380,244,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,care duty->private task,finish owed work,True,True
4381,244,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,private task->recover focus,rest before retry,True,True
4382,244,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,recover focus->work,apologize and wait,True,True
4383,244,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,work->negotiate debt,return object,True,True
4384,244,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,rest->negotiate debt,offer help,True,True
4385,244,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,negotiate debt->care duty,give space,True,True
4386,244,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,seek tool->care duty,finish owed work,True,True
4387,244,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,care duty->private task,rest before retry,True,True
4388,244,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,private task->recover focus,apologize and wait,True,True
4389,244,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,recover focus->work,return object,True,True
4390,244,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,work->rest,offer help,True,True
4391,244,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,rest->seek tool,give space,True,True
4392,245,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,seek tool->private task,rest before retry,True,False
4393,245,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,care duty->private task,apologize and wait,True,True
4394,245,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,private task->recover focus,return object,True,True
4395,245,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,recover focus->work,offer help,True,True
4396,245,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,work->rest,give space,True,True
4397,245,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,rest->negotiate debt,finish owed work,True,True
4398,245,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,negotiate debt->care duty,rest before retry,True,True
4399,245,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,seek tool->care duty,apologize and wait,True,True
4400,245,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,care duty->recover focus,return object,True,True
4401,245,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,private task->recover focus,offer help,True,True
4402,245,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,recover focus->work,give space,True,True
4403,245,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,work->rest,finish owed work,True,True
4404,245,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,rest->negotiate debt,rest before retry,True,True
4405,245,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,negotiate debt->seek tool,apologize and wait,True,True
4406,245,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,seek tool->private task,return object,True,True
4407,245,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,care duty->private task,offer help,True,True
4408,245,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,private task->work,give space,True,True
4409,245,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,recover focus->work,finish owed work,True,True
4410,246,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,rest->negotiate debt,apologize and wait,True,True
4411,246,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,negotiate debt->seek tool,return object,True,True
4412,246,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,seek tool->care duty,offer help,True,True
4413,246,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,care duty->recover focus,give space,True,True
4414,246,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,private task->recover focus,finish owed work,True,True
4415,246,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,recover focus->rest,rest before retry,True,True
4416,246,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,work->rest,apologize and wait,True,True
4417,246,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,rest->negotiate debt,return object,True,True
4418,246,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,negotiate debt->seek tool,offer help,True,True
4419,246,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,seek tool->care duty,give space,True,True
4420,246,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,care duty->private task,finish owed work,True,True
4421,246,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,private task->work,rest before retry,True,True
4422,246,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,recover focus->work,apologize and wait,True,True
4423,246,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,work->negotiate debt,return object,True,True
4424,246,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,rest->negotiate debt,offer help,True,True
4425,246,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,negotiate debt->seek tool,give space,True,True
4426,246,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,seek tool->care duty,finish owed work,True,True
4427,246,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,care duty->private task,rest before retry,True,True
4428,247,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,recover focus->rest,return object,True,True
4429,247,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,work->rest,offer help,True,True
4430,247,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,rest->seek tool,give space,True,True
4431,247,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,negotiate debt->seek tool,finish owed work,True,True
4432,247,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,seek tool->care duty,rest before retry,True,True
4433,247,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,care duty->private task,apologize and wait,True,True
4434,247,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,private task->recover focus,return object,True,True
4435,247,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,recover focus->work,offer help,True,True
4436,247,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,work->negotiate debt,give space,True,True
4437,247,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,rest->negotiate debt,finish owed work,True,True
4438,247,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,negotiate debt->care duty,rest before retry,True,True
4439,247,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,seek tool->care duty,apologize and wait,True,True
4440,247,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,care duty->private task,return object,True,True
4441,247,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,private task->recover focus,offer help,True,True
4442,247,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,recover focus->work,give space,True,True
4443,247,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,work->rest,finish owed work,True,True
4444,247,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,rest->seek tool,rest before retry,True,True
4445,247,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,negotiate debt->seek tool,apologize and wait,True,True
4446,248,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,care duty->private task,offer help,True,True
4447,248,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,private task->recover focus,give space,True,True
4448,248,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,recover focus->work,finish owed work,True,True
4449,248,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,work->rest,rest before retry,True,True
4450,248,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,rest->negotiate debt,apologize and wait,True,True
4451,248,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,negotiate debt->care duty,return object,True,True
4452,248,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,seek tool->care duty,offer help,True,True
4453,248,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,care duty->recover focus,give space,True,True
4454,248,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,private task->recover focus,finish owed work,True,True
4455,248,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,recover focus->work,rest before retry,True,True
4456,248,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,work->rest,apologize and wait,True,True
4457,248,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,rest->negotiate debt,return object,True,True
4458,248,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,negotiate debt->seek tool,offer help,True,True
4459,248,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,seek tool->private task,give space,True,True
4460,248,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,care duty->private task,finish owed work,True,True
4461,248,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,private task->work,rest before retry,True,True
4462,248,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,recover focus->work,apologize and wait,True,True
4463,248,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,work->rest,return object,True,True
4464,249,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,negotiate debt->seek tool,give space,True,True
4465,249,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,seek tool->care duty,finish owed work,True,True
4466,249,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,care duty->recover focus,rest before retry,True,True
4467,249,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,private task->recover focus,apologize and wait,True,True
4468,249,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,recover focus->rest,return object,True,True
4469,249,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,work->rest,offer help,True,True
4470,249,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,rest->negotiate debt,give space,True,True
4471,249,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,negotiate debt->seek tool,finish owed work,True,True
4472,249,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,seek tool->care duty,rest before retry,True,True
4473,249,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,care duty->private task,apologize and wait,True,True
4474,249,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,private task->work,return object,True,True
4475,249,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,recover focus->work,offer help,True,True
4476,249,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,work->negotiate debt,give space,True,False
4477,249,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,rest->negotiate debt,finish owed work,True,True
4478,249,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,negotiate debt->seek tool,rest before retry,True,True
4479,249,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,seek tool->care duty,apologize and wait,True,True
4480,249,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,care duty->private task,return object,True,True
4481,249,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,private task->recover focus,offer help,True,True
4482,250,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,work->rest,finish owed work,True,True
4483,250,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,rest->seek tool,rest before retry,True,True
4484,250,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,negotiate debt->seek tool,apologize and wait,True,True
4485,250,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,seek tool->care duty,return object,True,True
4486,250,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,care duty->private task,offer help,True,True
4487,250,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,private task->recover focus,give space,True,True
4488,250,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,recover focus->work,finish owed work,True,True
4489,250,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,work->negotiate debt,rest before retry,True,True
4490,250,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,rest->negotiate debt,apologize and wait,True,True
4491,250,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,negotiate debt->care duty,return object,True,True
4492,250,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,seek tool->care duty,offer help,True,True
4493,250,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,care duty->private task,give space,True,True
4494,250,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,private task->recover focus,finish owed work,True,True
4495,250,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,recover focus->work,rest before retry,True,True
4496,250,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,work->rest,apologize and wait,True,True
4497,250,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,rest->seek tool,return object,True,True
4498,250,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,negotiate debt->seek tool,offer help,True,True
4499,250,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,seek tool->private task,give space,True,True
4500,251,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,private task->recover focus,rest before retry,True,True
4501,251,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,recover focus->work,apologize and wait,True,True
4502,251,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,work->rest,return object,True,True
4503,251,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,rest->negotiate debt,offer help,True,True
4504,251,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,negotiate debt->care duty,give space,True,True
4505,251,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,seek tool->care duty,finish owed work,True,True
4506,251,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,care duty->recover focus,rest before retry,True,False
4507,251,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,private task->recover focus,apologize and wait,True,True
4508,251,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,recover focus->work,return object,True,True
4509,251,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,work->rest,offer help,True,True
4510,251,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,rest->negotiate debt,give space,True,True
4511,251,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,negotiate debt->seek tool,finish owed work,True,True
4512,251,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,seek tool->private task,rest before retry,True,True
4513,251,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,care duty->private task,apologize and wait,True,True
