tick,day,slot,avatar_room,avatar_action_key,resident,project,trust_before,trust_after,obligation_before,obligation_after,schedule_before,schedule_after,visible_consequence,avatar_agency_bound,resident_agency_bound,replay_key
4418,246,8,river gate,move,Nia,dry seed store,0.415742,0.419742,0.187404,0.185404,negotiate debt,seek tool,position changes but history remains intact,True,True,v58-loop-04418
4419,246,9,arrival court,talk,Ari,sort herb shelf,0.309273,0.329273,0.403871,0.377871,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-04419
4420,246,10,tool alcove,offer_help,Fay,map safe route,0.433278,0.453278,0.519724,0.493724,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-04420
4421,246,11,rain court,borrow_tool,Milo,dry seed store,0.5788,0.5588,0.422742,0.452742,private task,work,work is delayed and debt marker increases,True,True,v58-loop-04421
4422,246,12,fiber loft,return_tool,Sera,sort herb shelf,0.656801,0.672801,0.206866,0.180866,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-04422
4423,246,13,west hearth,interrupt_work,Tovan,map safe route,0.574047,0.554047,0.081204,0.111204,work,negotiate debt,work is delayed and debt marker increases,True,True,v58-loop-04423
4424,246,14,river gate,wait_offscreen,Nia,dry seed store,0.408045,0.406045,0.167479,0.161479,rest,negotiate debt,residents continue without avatar,True,True,v58-loop-04424
4425,246,15,arrival court,repair_trust,Ari,sort herb shelf,0.313812,0.329812,0.38212,0.35612,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-04425
4426,246,16,tool alcove,move,Fay,map safe route,0.42626,0.43026,0.517216,0.515216,seek tool,care duty,position changes but history remains intact,True,True,v58-loop-04426
4427,246,17,rain court,talk,Milo,dry seed store,0.599654,0.619654,0.441906,0.415906,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-04427
4428,247,0,west hearth,borrow_tool,Sera,patch cloak,0.673186,0.653186,0.096797,0.126797,recover focus,rest,work is delayed and debt marker increases,True,False,v58-loop-04428
4429,247,1,river gate,return_tool,Tovan,repair awning,0.575029,0.591029,0.122976,0.096976,work,rest,trust warms and obligation decreases,True,True,v58-loop-04429
4430,247,2,arrival court,interrupt_work,Nia,fix bridge peg,0.387112,0.367112,0.320629,0.350629,rest,seek tool,work is delayed and debt marker increases,True,True,v58-loop-04430
4431,247,3,tool alcove,wait_offscreen,Ari,patch cloak,0.323944,0.325944,0.4983,0.4923,negotiate debt,seek tool,residents continue without avatar,True,True,v58-loop-04431
4432,247,4,rain court,repair_trust,Fay,repair awning,0.436732,0.456732,0.483888,0.457888,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-04432
4433,247,5,fiber loft,move,Milo,fix bridge peg,0.591647,0.595647,0.291354,0.289354,care duty,private task,position changes but history remains intact,True,True,v58-loop-04433
4434,247,6,west hearth,talk,Sera,patch cloak,0.65242,0.66842,0.107194,0.081194,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-04434
4435,247,7,river gate,offer_help,Tovan,repair awning,0.581344,0.597344,0.109796,0.083796,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-04435
4436,247,8,arrival court,borrow_tool,Nia,fix bridge peg,0.402567,0.382567,0.296638,0.326638,work,negotiate debt,work is delayed and debt marker increases,True,False,v58-loop-04436
4437,247,9,tool alcove,return_tool,Ari,patch cloak,0.32119,0.34119,0.486737,0.460737,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-04437
4438,247,10,rain court,interrupt_work,Fay,repair awning,0.418688,0.398688,0.495953,0.525953,negotiate debt,care duty,work is delayed and debt marker increases,True,True,v58-loop-04438
4439,247,11,fiber loft,wait_offscreen,Milo,fix bridge peg,0.616416,0.618416,0.31536,0.30936,seek tool,care duty,residents continue without avatar,True,True,v58-loop-04439
4440,247,12,west hearth,repair_trust,Sera,patch cloak,0.661386,0.677386,0.119888,0.093888,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-04440
4441,247,13,river gate,move,Tovan,repair awning,0.549447,0.553447,0.098882,0.096882,private task,recover focus,position changes but history remains intact,True,True,v58-loop-04441
4442,247,14,arrival court,talk,Nia,fix bridge peg,0.38089,0.39689,0.272688,0.246688,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-04442
4443,247,15,tool alcove,offer_help,Ari,patch cloak,0.323982,0.343982,0.47295,0.44695,work,rest,trust warms and obligation decreases,True,True,v58-loop-04443
4444,247,16,rain court,borrow_tool,Fay,repair awning,0.445823,0.425823,0.505684,0.535684,rest,seek tool,work is delayed and debt marker increases,True,False,v58-loop-04444
4445,247,17,fiber loft,return_tool,Milo,fix bridge peg,0.612428,0.628428,0.339183,0.313183,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-04445
4446,248,0,river gate,wait_offscreen,Sera,map safe route,0.660368,0.658368,0.08182,0.07582,care duty,private task,residents continue without avatar,True,True,v58-loop-04446
4447,248,1,arrival court,repair_trust,Tovan,dry seed store,0.55194,0.56794,0.211682,0.185682,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-04447
4448,248,2,tool alcove,move,Nia,sort herb shelf,0.389316,0.393316,0.427093,0.425093,recover focus,work,position changes but history remains intact,True,True,v58-loop-04448
4449,248,3,rain court,talk,Ari,map safe route,0.312021,0.332021,0.519396,0.493396,work,rest,trust warms and obligation decreases,True,True,v58-loop-04449
4450,248,4,fiber loft,offer_help,Fay,dry seed store,0.434119,0.450119,0.399181,0.373181,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-04450
4451,248,5,west hearth,borrow_tool,Milo,sort herb shelf,0.6185,0.5985,0.182895,0.212895,negotiate debt,care duty,work is delayed and debt marker increases,True,True,v58-loop-04451
4452,248,6,river gate,return_tool,Sera,map safe route,0.676206,0.692206,0.080042,0.054042,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-04452
4453,248,7,arrival court,interrupt_work,Tovan,dry seed store,0.542692,0.522692,0.190251,0.220251,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-04453
4454,248,8,tool alcove,wait_offscreen,Nia,sort herb shelf,0.393679,0.391679,0.406769,0.400769,private task,recover focus,residents continue without avatar,True,True,v58-loop-04454
4455,248,9,rain court,repair_trust,Ari,map safe route,0.318331,0.338331,0.519865,0.493865,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-04455
4456,248,10,fiber loft,move,Fay,dry seed store,0.447482,0.451482,0.419989,0.417989,work,rest,position changes but history remains intact,True,True,v58-loop-04456
4457,248,11,west hearth,talk,Milo,sort herb shelf,0.599689,0.615689,0.203886,0.177886,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-04457
4458,248,12,river gate,offer_help,Sera,map safe route,0.672693,0.688693,0.080884,0.054884,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-04458
4459,248,13,arrival court,borrow_tool,Tovan,dry seed store,0.552587,0.532587,0.170128,0.200128,seek tool,private task,work is delayed and debt marker increases,True,True,v58-loop-04459
4460,248,14,tool alcove,return_tool,Nia,sort herb shelf,0.386631,0.402631,0.385172,0.359172,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-04460
4461,248,15,rain court,interrupt_work,Ari,map safe route,0.301189,0.281189,0.517715,0.547715,private task,work,work is delayed and debt marker increases,True,True,v58-loop-04461
4462,248,16,fiber loft,wait_offscreen,Fay,dry seed store,0.45965,0.45765,0.439368,0.433368,recover focus,work,residents continue without avatar,True,True,v58-loop-04462
4463,248,17,west hearth,repair_trust,Milo,sort herb shelf,0.615634,0.631634,0.226023,0.200023,work,rest,trust warms and obligation decreases,True,True,v58-loop-04463
4464,249,0,arrival court,talk,Sera,repair awning,0.660759,0.676759,0.124955,0.098955,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-04464
4465,249,1,tool alcove,offer_help,Tovan,fix bridge peg,0.525581,0.541581,0.323912,0.297912,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-04465
4466,249,2,rain court,borrow_tool,Nia,patch cloak,0.36202,0.34202,0.499706,0.529706,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-04466
4467,249,3,fiber loft,return_tool,Ari,repair awning,0.330983,0.350983,0.482056,0.456056,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-04467
4468,249,4,west hearth,interrupt_work,Fay,fix bridge peg,0.442759,0.422759,0.288057,0.318057,recover focus,rest,work is delayed and debt marker increases,True,False,v58-loop-04468
4469,249,5,river gate,wait_offscreen,Milo,patch cloak,0.617196,0.619196,0.105627,0.099627,work,rest,residents continue without avatar,True,True,v58-loop-04469
4470,249,6,arrival court,repair_trust,Sera,repair awning,0.654084,0.670084,0.111476,0.085476,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-04470
4471,249,7,tool alcove,move,Tovan,fix bridge peg,0.546427,0.550427,0.299938,0.297938,negotiate debt,seek tool,position changes but history remains intact,True,True,v58-loop-04471
4472,249,8,rain court,talk,Nia,patch cloak,0.381181,0.401181,0.488461,0.462461,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-04472
4473,249,9,fiber loft,offer_help,Ari,repair awning,0.305611,0.325611,0.494431,0.468431,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-04473
4474,249,10,west hearth,borrow_tool,Fay,fix bridge peg,0.453817,0.433817,0.312066,0.342066,private task,work,work is delayed and debt marker increases,True,True,v58-loop-04474
4475,249,11,river gate,return_tool,Milo,patch cloak,0.620063,0.636063,0.118013,0.092013,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-04475
4476,249,12,arrival court,interrupt_work,Sera,repair awning,0.678305,0.658305,0.100242,0.130242,work,negotiate debt,work is delayed and debt marker increases,True,False,v58-loop-04476
4477,249,13,tool alcove,wait_offscreen,Tovan,fix bridge peg,0.537235,0.539235,0.275966,0.269966,rest,negotiate debt,residents continue without avatar,True,True,v58-loop-04477
4478,249,14,rain court,repair_trust,Nia,patch cloak,0.374028,0.394028,0.47497,0.44897,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-04478
4479,249,15,fiber loft,move,Ari,repair awning,0.331687,0.335687,0.50449,0.50249,seek tool,care duty,position changes but history remains intact,True,True,v58-loop-04479
4480,249,16,west hearth,talk,Fay,fix bridge peg,0.455506,0.471506,0.335931,0.309931,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-04480
4481,249,17,river gate,offer_help,Milo,patch cloak,0.611045,0.627045,0.132567,0.106567,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-04481
4482,250,0,tool alcove,return_tool,Sera,dry seed store,0.6517,0.6677,0.214714,0.188714,work,rest,trust warms and obligation decreases,True,True,v58-loop-04482
4483,250,1,rain court,interrupt_work,Tovan,sort herb shelf,0.541892,0.521892,0.429773,0.459773,rest,seek tool,work is delayed and debt marker increases,True,True,v58-loop-04483
4484,250,2,fiber loft,wait_offscreen,Nia,map safe route,0.377792,0.375792,0.519127,0.513127,negotiate debt,seek tool,residents continue without avatar,True,True,v58-loop-04484
4485,250,3,west hearth,repair_trust,Ari,dry seed store,0.344195,0.360195,0.396225,0.370225,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-04485
4486,250,4,river gate,move,Fay,sort herb shelf,0.475362,0.479362,0.180114,0.178114,care duty,private task,position changes but history remains intact,True,True,v58-loop-04486
4487,250,5,arrival court,talk,Milo,map safe route,0.625263,0.641263,0.080131,0.054131,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-04487
4488,250,6,tool alcove,offer_help,Sera,dry seed store,0.665976,0.681976,0.193124,0.167124,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-04488
4489,250,7,rain court,borrow_tool,Tovan,sort herb shelf,0.516437,0.496437,0.409642,0.439642,work,negotiate debt,work is delayed and debt marker increases,True,True,v58-loop-04489
4490,250,8,fiber loft,return_tool,Nia,map safe route,0.348167,0.368167,0.519956,0.493956,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-04490
4491,250,9,west hearth,interrupt_work,Ari,dry seed store,0.313129,0.293129,0.41721,0.44721,negotiate debt,care duty,work is delayed and debt marker increases,True,True,v58-loop-04491
4492,250,10,river gate,wait_offscreen,Fay,sort herb shelf,0.458451,0.456451,0.200929,0.194929,seek tool,care duty,residents continue without avatar,True,True,v58-loop-04492
4493,250,11,arrival court,repair_trust,Milo,map safe route,0.620734,0.636734,0.080613,0.054613,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-04493
4494,250,12,tool alcove,move,Sera,dry seed store,0.651121,0.655121,0.172806,0.170806,private task,recover focus,position changes but history remains intact,True,True,v58-loop-04494
4495,250,13,rain court,talk,Tovan,sort herb shelf,0.539111,0.555111,0.388205,0.362205,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-04495
4496,250,14,fiber loft,offer_help,Nia,map safe route,0.370433,0.390433,0.518165,0.492165,work,rest,trust warms and obligation decreases,True,True,v58-loop-04496
4497,250,15,west hearth,borrow_tool,Ari,dry seed store,0.331172,0.311172,0.436799,0.466799,rest,seek tool,work is delayed and debt marker increases,True,True,v58-loop-04497
4498,250,16,river gate,return_tool,Fay,sort herb shelf,0.472939,0.488939,0.222924,0.196924,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-04498
4499,250,17,arrival court,interrupt_work,Milo,map safe route,0.632893,0.612893,0.083708,0.113708,seek tool,private task,work is delayed and debt marker increases,True,True,v58-loop-04499
4500,251,0,rain court,repair_trust,Sera,fix bridge peg,0.660003,0.676003,0.327189,0.301189,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-04500
4501,251,1,fiber loft,move,Tovan,patch cloak,0.504262,0.508262,0.501068,0.499068,recover focus,work,position changes but history remains intact,True,True,v58-loop-04501
4502,251,2,west hearth,talk,Nia,repair awning,0.338095,0.358095,0.480183,0.454183,work,rest,trust warms and obligation decreases,True,True,v58-loop-04502
4503,251,3,river gate,offer_help,Ari,fix bridge peg,0.316663,0.332663,0.284764,0.258764,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-04503
4504,251,4,arrival court,borrow_tool,Fay,patch cloak,0.47685,0.45685,0.104103,0.134103,negotiate debt,care duty,work is delayed and debt marker increases,True,False,v58-loop-04504
4505,251,5,tool alcove,return_tool,Milo,repair awning,0.632901,0.648901,0.113198,0.087198,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-04505
4506,251,6,rain court,interrupt_work,Sera,fix bridge peg,0.63871,0.61871,0.303238,0.333238,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-04506
4507,251,7,fiber loft,wait_offscreen,Tovan,patch cloak,0.504671,0.506671,0.490142,0.484142,private task,recover focus,residents continue without avatar,True,True,v58-loop-04507
4508,251,8,west hearth,repair_trust,Nia,repair awning,0.355199,0.375199,0.492865,0.466865,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-04508
4509,251,9,river gate,move,Ari,fix bridge peg,0.323722,0.327722,0.30877,0.30677,work,rest,position changes but history remains intact,True,True,v58-loop-04509
4510,251,10,arrival court,talk,Fay,patch cloak,0.482999,0.498999,0.11618,0.09018,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-04510
4511,251,11,tool alcove,offer_help,Milo,repair awning,0.642629,0.658629,0.101647,0.075647,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-04511
4512,251,12,rain court,borrow_tool,Sera,fix bridge peg,0.650236,0.630236,0.279248,0.309248,seek tool,private task,work is delayed and debt marker increases,True,False,v58-loop-04512
4513,251,13,fiber loft,return_tool,Tovan,patch cloak,0.51493,0.53493,0.476951,0.450951,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-04513
4514,251,14,west hearth,interrupt_work,Nia,repair awning,0.348151,0.328151,0.50325,0.53325,private task,work,work is delayed and debt marker increases,True,True,v58-loop-04514
4515,251,15,river gate,wait_offscreen,Ari,fix bridge peg,0.332725,0.334725,0.332672,0.326672,recover focus,work,residents continue without avatar,True,True,v58-loop-04515
4516,251,16,arrival court,repair_trust,Fay,patch cloak,0.467294,0.483294,0.130446,0.104446,work,rest,trust warms and obligation decreases,True,True,v58-loop-04516
4517,251,17,tool alcove,move,Milo,repair awning,0.64665,0.65065,0.092458,0.090458,rest,negotiate debt,position changes but history remains intact,True,True,v58-loop-04517
4518,252,0,fiber loft,offer_help,Sera,sort herb shelf,0.654688,0.674688,0.432423,0.406423,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-04518
4519,252,1,west hearth,borrow_tool,Tovan,map safe route,0.49536,0.47536,0.518809,0.548809,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-04519
4520,252,2,river gate,return_tool,Nia,dry seed store,0.336481,0.352481,0.393246,0.367246,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-04520
4521,252,3,arrival court,interrupt_work,Ari,sort herb shelf,0.326715,0.306715,0.177361,0.207361,recover focus,rest,work is delayed and debt marker increases,True,True,v58-loop-04521
4522,252,4,tool alcove,wait_offscreen,Fay,map safe route,0.508156,0.506156,0.08027,0.07427,work,rest,residents continue without avatar,True,True,v58-loop-04522
4523,252,5,rain court,repair_trust,Milo,dry seed store,0.659796,0.675796,0.19602,0.17002,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-04523
4524,252,6,fiber loft,move,Sera,sort herb shelf,0.637197,0.641197,0.41249,0.41049,negotiate debt,seek tool,position changes but history remains intact,True,True,v58-loop-04524
4525,252,7,west hearth,talk,Tovan,map safe route,0.512047,0.532047,0.519997,0.493997,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-04525
4526,252,8,river gate,offer_help,Nia,dry seed store,0.353294,0.373294,0.414404,0.388404,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-04526
4527,252,9,arrival court,borrow_tool,Ari,sort herb shelf,0.341567,0.321567,0.197994,0.227994,private task,work,work is delayed and debt marker increases,True,True,v58-loop-04527
4528,252,10,tool alcove,return_tool,Fay,map safe route,0.509318,0.525318,0.080392,0.054392,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-04528
4529,252,11,rain court,interrupt_work,Milo,dry seed store,0.650556,0.630556,0.175513,0.205513,work,negotiate debt,work is delayed and debt marker increases,True,True,v58-loop-04529
4530,252,12,fiber loft,wait_offscreen,Sera,sort herb shelf,0.640921,0.638921,0.391218,0.385218,rest,negotiate debt,residents continue without avatar,True,True,v58-loop-04530
4531,252,13,west hearth,repair_trust,Tovan,map safe route,0.490646,0.510646,0.518565,0.492565,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-04531
4532,252,14,river gate,move,Nia,dry seed store,0.35159,0.35559,0.4342,0.4322,seek tool,care duty,position changes but history remains intact,True,True,v58-loop-04532
4533,252,15,arrival court,talk,Ari,sort herb shelf,0.329938,0.345938,0.219842,0.193842,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-04533
4534,252,16,tool alcove,offer_help,Fay,map safe route,0.486935,0.502935,0.083129,0.057129,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-04534
4535,252,17,rain court,borrow_tool,Milo,dry seed store,0.634241,0.614241,0.156488,0.186488,recover focus,rest,work is delayed and debt marker increases,True,True,v58-loop-04535
4536,253,0,west hearth,interrupt_work,Sera,patch cloak,0.627774,0.607774,0.502385,0.532385,rest,seek tool,work is delayed and debt marker increases,True,False,v58-loop-04536
4537,253,1,river gate,wait_offscreen,Tovan,repair awning,0.488821,0.490821,0.478269,0.472269,negotiate debt,seek tool,residents continue without avatar,True,True,v58-loop-04537
4538,253,2,arrival court,repair_trust,Nia,fix bridge peg,0.34457,0.36057,0.281473,0.255473,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-04538
4539,253,3,tool alcove,move,Ari,patch cloak,0.340984,0.344984,0.102623,0.100623,care duty,private task,position changes but history remains intact,True,True,v58-loop-04539
4540,253,4,rain court,talk,Fay,repair awning,0.523665,0.539665,0.114962,0.088962,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-04540
4541,253,5,fiber loft,offer_help,Milo,fix bridge peg,0.653005,0.669005,0.306537,0.280537,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-04541
4542,253,6,west hearth,borrow_tool,Sera,patch cloak,0.627999,0.607999,0.49178,0.52178,work,negotiate debt,work is delayed and debt marker increases,True,True,v58-loop-04542
4543,253,7,river gate,return_tool,Tovan,repair awning,0.488786,0.508786,0.491256,0.465256,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-04543
4544,253,8,arrival court,interrupt_work,Nia,fix bridge peg,0.351997,0.331997,0.305472,0.335472,negotiate debt,care duty,work is delayed and debt marker increases,True,False,v58-loop-04544
4545,253,9,tool alcove,wait_offscreen,Ari,patch cloak,0.33867,0.34067,0.114387,0.108387,seek tool,care duty,residents continue without avatar,True,True,v58-loop-04545
4546,253,10,rain court,repair_trust,Fay,repair awning,0.503082,0.519082,0.103097,0.077097,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-04546
4547,253,11,fiber loft,move,Milo,fix bridge peg,0.637069,0.641069,0.282536,0.280536,private task,recover focus,position changes but history remains intact,True,True,v58-loop-04547
4548,253,12,west hearth,talk,Sera,patch cloak,0.638369,0.658369,0.478892,0.452892,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-04548
4549,253,13,river gate,offer_help,Tovan,repair awning,0.497088,0.517088,0.501964,0.475964,work,rest,trust warms and obligation decreases,True,True,v58-loop-04549
4550,253,14,arrival court,borrow_tool,Nia,fix bridge peg,0.34729,0.32729,0.329405,0.359405,rest,seek tool,work is delayed and debt marker increases,True,True,v58-loop-04550
4551,253,15,tool alcove,return_tool,Ari,patch cloak,0.336135,0.352135,0.128362,0.102362,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-04551
4552,253,16,rain court,interrupt_work,Fay,repair awning,0.520511,0.500511,0.093576,0.123576,seek tool,private task,work is delayed and debt marker increases,True,False,v58-loop-04552
4553,253,17,fiber loft,wait_offscreen,Milo,fix bridge peg,0.662533,0.664533,0.258743,0.252743,care duty,private task,residents continue without avatar,True,True,v58-loop-04553
4554,254,0,river gate,move,Sera,map safe route,0.630362,0.634362,0.518441,0.516441,recover focus,work,position changes but history remains intact,True,True,v58-loop-04554
4555,254,1,arrival court,talk,Tovan,dry seed store,0.469348,0.485348,0.390247,0.364247,work,rest,trust warms and obligation decreases,True,True,v58-loop-04555
4556,254,2,tool alcove,offer_help,Nia,sort herb shelf,0.323829,0.339829,0.174635,0.148635,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-04556
4557,254,3,rain court,borrow_tool,Ari,map safe route,0.344406,0.324406,0.080458,0.110458,negotiate debt,care duty,work is delayed and debt marker increases,True,True,v58-loop-04557
4558,254,4,fiber loft,return_tool,Fay,dry seed store,0.50823,0.52423,0.19894,0.17294,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-04558
4559,254,5,west hearth,interrupt_work,Milo,sort herb shelf,0.638178,0.618178,0.415314,0.445314,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-04559
4560,254,6,river gate,wait_offscreen,Sera,map safe route,0.646908,0.644908,0.519989,0.513989,private task,recover focus,residents continue without avatar,True,True,v58-loop-04560
4561,254,7,arrival court,repair_trust,Tovan,dry seed store,0.462446,0.482446,0.411573,0.385573,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-04561
4562,254,8,tool alcove,move,Nia,sort herb shelf,0.333183,0.337183,0.195082,0.193082,work,rest,position changes but history remains intact,True,True,v58-loop-04562
4563,254,9,rain court,talk,Ari,map safe route,0.354216,0.370216,0.080219,0.054219,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-04563
4564,254,10,fiber loft,offer_help,Fay,dry seed store,0.522803,0.538803,0.178247,0.152247,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-04564
4565,254,11,west hearth,borrow_tool,Milo,sort herb shelf,0.667937,0.647937,0.394211,0.424211,seek tool,private task,work is delayed and debt marker increases,True,True,v58-loop-04565
4566,254,12,river gate,return_tool,Sera,map safe route,0.629403,0.649403,0.518917,0.492917,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-04566
4567,254,13,arrival court,interrupt_work,Tovan,dry seed store,0.484242,0.464242,0.43157,0.46157,private task,work,work is delayed and debt marker increases,True,True,v58-loop-04567
4568,254,14,tool alcove,wait_offscreen,Nia,sort herb shelf,0.342734,0.340734,0.216778,0.210778,recover focus,work,residents continue without avatar,True,True,v58-loop-04568
4569,254,15,rain court,repair_trust,Ari,map safe route,0.364782,0.380782,0.082599,0.056599,work,rest,trust warms and obligation decreases,True,True,v58-loop-04569
4570,254,16,fiber loft,move,Fay,dry seed store,0.537791,0.541791,0.159005,0.157005,rest,negotiate debt,position changes but history remains intact,True,True,v58-loop-04570
4571,254,17,west hearth,talk,Milo,sort herb shelf,0.655258,0.671258,0.371986,0.345986,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-04571
4572,255,0,arrival court,borrow_tool,Sera,repair awning,0.618687,0.598687,0.476315,0.506315,care duty,recover focus,work is delayed and debt marker increases,True,False,v58-loop-04572
4573,255,1,tool alcove,return_tool,Tovan,fix bridge peg,0.457032,0.473032,0.278187,0.252187,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-04573
4574,255,2,rain court,interrupt_work,Nia,patch cloak,0.329871,0.309871,0.101188,0.131188,recover focus,rest,work is delayed and debt marker increases,True,True,v58-loop-04574
4575,255,3,fiber loft,wait_offscreen,Ari,repair awning,0.37252,0.37452,0.116768,0.110768,work,rest,residents continue without avatar,True,True,v58-loop-04575
4576,255,4,west hearth,repair_trust,Fay,fix bridge peg,0.53933,0.55533,0.309835,0.283835,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-04576
4577,255,5,river gate,move,Milo,patch cloak,0.66962,0.67362,0.493376,0.491376,negotiate debt,seek tool,position changes but history remains intact,True,True,v58-loop-04577
4578,255,6,arrival court,talk,Sera,repair awning,0.623984,0.643984,0.489603,0.463603,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-04578
4579,255,7,tool alcove,offer_help,Tovan,fix bridge peg,0.479933,0.495933,0.302172,0.276172,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-04579
4580,255,8,rain court,borrow_tool,Nia,patch cloak,0.336312,0.316312,0.112637,0.142637,private task,work,work is delayed and debt marker increases,True,False,v58-loop-04580
4581,255,9,fiber loft,return_tool,Ari,repair awning,0.370962,0.386962,0.104591,0.078591,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-04581
4582,255,10,west hearth,interrupt_work,Fay,fix bridge peg,0.52978,0.50978,0.285827,0.315827,work,negotiate debt,work is delayed and debt marker increases,True,True,v58-loop-04582
4583,255,11,river gate,wait_offscreen,Milo,patch cloak,0.659775,0.661775,0.480792,0.474792,rest,negotiate debt,residents continue without avatar,True,True,v58-loop-04583
4584,255,12,arrival court,repair_trust,Sera,repair awning,0.62464,0.64464,0.500633,0.474633,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-04584
4585,255,13,tool alcove,move,Tovan,fix bridge peg,0.454945,0.458945,0.326131,0.324131,seek tool,care duty,position changes but history remains intact,True,True,v58-loop-04585
4586,255,14,rain court,talk,Nia,patch cloak,0.311961,0.327961,0.126317,0.100317,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-04586
4587,255,15,fiber loft,offer_help,Ari,repair awning,0.378704,0.394704,0.094741,0.068741,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-04587
4588,255,16,west hearth,borrow_tool,Fay,fix bridge peg,0.540518,0.520518,0.261988,0.291988,recover focus,rest,work is delayed and debt marker increases,True,False,v58-loop-04588
4589,255,17,river gate,return_tool,Milo,patch cloak,0.675061,0.695061,0.466056,0.440056,work,rest,trust warms and obligation decreases,True,True,v58-loop-04589
